,Sentiment,Tweet
0,Negative,RT @JaydaBF: WATCH: Jayda appeals for Donald Trump's help @JaydaBF @realDonaldTrump https://t.co/1extlyhwhp
1,Negative,"RT @ShorayW: Trump Talks Tax Reform in Missouri: 'America Will Win Like Never, Ever Before' https://t.co/KmNdha2mhH #Newsmax via @Newsmax_M…"
2,Negative,"RT @krassenstein: Awesome News:  

Subpoenas are being sent to 23 Trump businesses requiring them to preserve records that may be sought by…"
3,Negative,RT @CNN: President Trump has continued to question the legitimacy of former President Obama's birth certificate during private conversation…
4,Negative,RT @realDonaldTrump: The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding key…
5,Negative,RT @Trinity3xxx: British people. I mean really British! Welcome and support President Donald J Trump 100%. 🇬🇧❤️🇺🇸 https://t.co/fXOZ4OD54d
6,Negative,"RT @BBCNews: Thursday's i: ""Trump visit in doubt after latest attack on Britain"" #tomorrowspaperstoday #BBCpapers (via @BBCHelenaLee) https…"
7,Negative,RT @ashleyruuu: The #GOPTaxScam steals money from my disabled son’s healthcare—which covered this surgery in Feb &amp; a more invasive cranial…
8,Positive,"RT @Khanoisseur: U.S. created 261000 jobs in Oct, vs 310000 expected; Can you imagine Obama or Clinton taking a leaf out of Trump's playboo…"
9,Positive,RT @steve_rjhst5: @eljefe169 I see no problem with Trump the sad thing is “some” “minority” in the UK are so week they would bow to any PC…
10,Negative,RT @LincolnsBible: Now would be a good time for Mark Burnett to release the endless hours of Trump's racist comments stored on his producti…
11,Negative,@JeffFlake @joniernst @SenMikeLee @marcorubio @RandPaul @SenJohnMcCain @WSJ @nytimes @clairecmc @SenateGOP… https://t.co/H648kKsHZZ
12,Negative,"RT @Tony_Robinson: Surely it’s time for us to reassert that we don’t want the racist Donald Trump to sully Britain by coming to our shores,…"
13,Negative,"@LTXWorld I think it was @ChasFlemming who said it best about voting Trump.  
Trump may be a disaster but Hillary w… https://t.co/o6Z4xK3e9T"
14,Negative,RT @FoxBusiness: Trump promises more sanctions against NKorea https://t.co/TIywZ0YCjp https://t.co/AOE3QmRBZi
